symbol,name,marketcap,debt_ratio,growth,id,oneyearhigh,price,eps,float,insider_own,percent_institutions_own,price_percent_from_1_yr_hi,price_to_revenue,volume,lt_debt,ebitda
LITB,"LightInTheBox Holding Co., Ltd",213492160,NaN,0.959,12243,3.89,1.96,0.126,23700099,8.094,9.038,0.50,0.9273,201539,NA,3639000
LKCO,Luokung Technology Corp,76742416,-8.79,0.545,12257,7.535,0.39,-0.157,114622678,37.574999999999996,2.234,0.05,4.4848,295003,32938926.00,-3746326
LMPX,"LMP Automotive Holdings, Inc",197870928,NaN,3.436,12357,49.3,19.98,-0.302,5859873,40.88,2.026,0.41,9.9384,378185,4442659.00,NA
SNFCA,Security National Financial Corporation,123064536,5.72,0.734,12407,7.535,6.43,1.456,9613501,39.983000000000004,33.835,0.85,0.3617,73391,347139008.00,60717932
FUV,"Arcimoto, Inc",168603104,-0.05,30.541,12656,8.89,5.41,-0.701,22583981,43.632,7.7090000000000005,0.61,63.3027,297256,647610.00,-12752138
SOLI,"Solei Systems, Inc",65814400,NaN,117.423,12694,1.05,0.31,-0.024,31391169,31.215,0,0.30,40.3856,28046,NA,-526557
LRDG,Lord Global Corporation,10757280,NaN,0.321,12745,11.7,8.2,0,514607,90.72099999999999,0,0.70,999999.9999,48674,NA,NA
SONG,Akazoo S.A,57692832,NaN,0.244,12737,123.5,122,0,7873581,28.021,37.326,0.99,0,3481407,0.00,NA
LTRX,"Lantronix, Inc",121341200,4.90,0.338,12949,5.48,4.48,-0.442,13761322,45.086,20.892,0.82,2.1822,328135,4050000.00,827000
LXRP,Lexaria Bioscience Corp,27324068,-0.01,0.359,13085,0.76,0.28,-0.053,73791990,19.283,0,0.36,62.5441,206771,28756.00,-4166207
SPYR,"SPYR, Inc",25710938,-0.02,1.442,13066,0.16,0.13,-0.008,100305056,49.999,0,0.80,49.7381,112441,43000.00,-1840000
SRAX,"SRAX, Inc",40847840,-0.13,0.289,13130,3.188,2.89,-0.819,13018119,7.973,5.457,0.91,10.9448,70403,1935000.00,-15318457
GDLNF,Greenland Minerals Limited,222297952,NaN,1.257,13204,0.222,0.2,-0.002,949760928,20.254,0.719,0.92,0,231397,NA,NA
MCF,Contango Oil & Gas Company,208871744,2.01,0.398,13528,4.79,1.47,-2.716,92327687,28.358,40.215,0.31,1.5817,280207,82537000.00,41054000
SSYNF,Sensyne Health plc,121159704,NaN,9.051,13539,0.4311,0.95,0,67955188,50.253,43.247,2.21,86.1589,40000,NA,NA
GHSI,"Guardion Health Sciences, Inc",20138624,NaN,3.563,13565,0.95,0.23,-0.142,78304812,7.227,3.5389999999999997,0.24,9.9624,1820483,NA,-6209809
GKPRF,Gatekeeper Systems Inc,58271232,NaN,0.312,13708,0.7093,0.67,-0.015,78034666,11.802,0,0.94,4.6584,41750,NA,NA
MDJH,MDJM Ltd,43769408,NaN,1.002,13784,5.068,4,0.039,1420878,87.795,0.015,0.79,8.4768,23974,NA,373740
GLG,"TD Holdings, Inc",222318192,NaN,6.34,13785,4.02,3.26,-0.43,59686985,9.518,0.16,0.81,9.4081,312605,149936.00,NA
GLUC,"Glucose Health, Inc",617876,NaN,10.272,13876,1.9,1.46,-0.023,3860059,13.200000000000001,0,0.77,5.8784,51632,NA,NA
GMGI,"Golden Matrix Group, Inc",105762200,NaN,0.319,13959,7.55,5.4,0.062,10022562,40.174,0,0.72,51.022,59005,NA,2110040
MENEF,Mene Inc,163378592,NaN,0.4,14081,0.638,0.52,-0.01,51340952,62.038000000000004,9.114,0.82,14.6589,30205,NA,NA
GNE,Genie Energy Ltd,233998512,NaN,0.247,14055,9.4,8.58,0.43,20592270,36.136,31.877,0.91,0.6807,56920,NA,25923000
GNUS,"Genius Brands International, Inc",225600896,-0.35,0.208,14169,8,1.02,-20.714,180395214,29.122999999999998,19.904,0.13,4.3054,7178527,1889426.00,-5456587
MJXFF,Windfall Geotek Inc,6097504,NaN,0.607,14603,0.105,0.07,-0.018,83116584,13.282,0,0.67,0,62500,NA,NA
GSUM,Gridsum Holding Inc,37043296,NaN,0.359,14761,2.5,1.07,-1.516,10259841,9.046999999999999,29.381,0.43,0.9145,515034,117819000.00,NA
ICNAF,Icanic Brands Company Inc,60638480,NaN,8.91,14725,0.41,0.28,-0.01,216485088,16.889000000000003,0.008,0.68,9.4807,62869,NA,NA
GSWTF,GetSwift Limited,65903904,NaN,12.933,14770,0.658,0.34,-0.053,72313271,43.952999999999996,22.532,0.52,24.0698,81583,NA,NA
MMMB,"MamaMancini's Holdings, Inc",67181520,1.21,0.507,14848,2.33,2.08,0.06,14220143,47.316,5.914,0.89,1.7232,75319,3789192.00,3139366
MMNFF,MedMen Enterprises Inc,57574460,-0.92,0.411,14868,1.975,0.17,-0.571,340292495,8.221,1.5779999999999998,0.09,0.2595,1076187,211911797.00,-229114720
